frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
3,9.0,[511.1188659667969 17.39385986328125 1228.20263671875 691.8959350585938],[869.75 550.083740234375 997.8870849609375 673.3720703125],0.7916519045829773,29-T1 1020,[0.19578489208817146, 0.9989377447984358]
39,21.0,[477.55424824258387 13.823184359075015 922.6234740274098 686.5639755962839],[672.49658203125 514.6082153320312 785.703369140625 624.8401489257812],0.8050060868263245,29-T1 00201,[0.34519628604757413, 0.20715020596607733]
42,21.0,[481.1257489918371 24.406798510665567 898.8443381536883 686.2919900796549],[648.540771484375 514.82958984375 764.0335693359375 627.46923828125],0.772729754447937,29-V1 1120,[0.23980027437210083, 0.8997208422898098, 0.26293089071135856]
43,21.0,[492.65442006464946 23.444925931846683 899.3605433510634 685.0117718541036],[635.7462768554688 512.8299560546875 745.4680786132812 626.9786376953125],0.7570335268974304,29-T1 10201,[0.4319832789166379, 0.3472549907632362]
50,21.0,[467.7188378962822 31.019382786021595 844.2555796063884 688.3964280704245],[573.9530029296875 522.64111328125 687.2034912109375 636.5958251953125],0.746086061000824,29-M1 1020,[0.4385961570506809, 0.13750907765955753]
54,21.0,[439.90954032133016 36.49002536702915 790.2217739559477 689.8126192309471],[533.0223388671875 524.2301025390625 648.208251953125 644.3035888671875],0.739395797252655,29-I7 2102,[0.09459803456253978, 0.4805739737161952]
56,21.0,[434.0449345501256 30.002796267785982 843.5101886386569 690.5430823560544],[508.7464294433594 524.9673461914062 625.9952392578125 642.4354858398438],0.7543368339538574,29-T1 10202,[0.47457159481673356, 0.5680704448561815]
60,21.0,[362.48443655631866 21.73459974569124 786.7743655320506 688.2345981837082],[479.7472229003906 521.7130126953125 595.1341552734375 638.6307373046875],0.8067365288734436,21-S1 0201,[0.04607259709464069, 0.28854541954247936]
62,21.0,[335.14775951132975 22.548051867007132 771.8333713649592 688.9281824963846],[467.8269348144531 521.974365234375 589.50732421875 642.799560546875],0.7797157764434814,29-T1 10201,[0.24611850291011989, 0.09452739198507615]
65,21.0,[350.2428127188198 15.099491023012263 845.1639212946802 687.9939205601936],[456.10479736328125 520.3612060546875 575.9053344726562 641.1541748046875],0.7251918911933899,79-T1 01102,[0.32063543796539307, 0.9780330947068169, 0.5547197168145523]
67,21.0,[269.5665942193677 11.897938521093636 784.9503556262698 685.3571367883137],[447.5499267578125 518.4949951171875 561.1903686523438 635.015380859375],0.7914548516273499,29-T1 10201,[0.4071081876754761, 0.777230402003373]
69,21.0,[262.1059260672273 13.41547792950388 725.8747192632529 684.5836821156515],[436.642333984375 517.066162109375 556.6156005859375 636.1304931640625],0.8050441741943359,29-T7 1020,[0.15806170663838218, 0.3042554259300232]
75,46.0,[31.081079229715897 -11.084022610727402 1041.629152981462 691.4091736019482],[404.02593994140625 505.4429931640625 521.8572387695312 624.5352783203125],0.7506606578826904,29-T1 10203,[0.8281702399253845, 0.07106474968782266]
103,59.0,[24.624007096118817 -40.12047004648457 684.2178865732047 738.6111755040183],[502.3504638671875 447.51593017578125 626.8741455078125 578.1693725585938],0.7533273100852966,90-H9 3509,[0.3351712479835554, 0.9995980858802795]
111,64.0,[0.09487305360045184 17.6683739529189 623.1458862988 702.2334185556856],[390.36865234375 450.55419921875 520.2191162109375 578.3489990234375],0.764061689376831,90-H8 3509,[0.7471720393870819, 0.9995205998420715]
112,64.0,[-0.29477102311125236 15.031698329999415 619.3980212544799 700.93784215964],[376.8154296875 447.1077575683594 505.4122314453125 577.1976318359375],0.7546660304069519,90-H8 3509,[0.9120300002107339, 0.9535732865333557]
113,64.0,[-1.9628590156460177 12.472742250937756 610.4640562968003 698.067950048081],[359.141845703125 444.33978271484375 496.3455810546875 578.6360473632812],0.7306532263755798,90-H9 0935,[0.3223468805621913, 0.9996073607632423, 0.999918404676329]
114,64.0,[-3.9716844465365853 11.23595805492198 599.5029548504099 697.1515598809902],[343.8915100097656 447.47906494140625 474.4698791503906 580.5409545898438],0.7346009016036987,90-H8 0935,[0.5322466941744803, 0.9999585277529502, 0.6202011721832023]
118,64.0,[-7.973431072075243 11.285253301134617 543.3349865661573 694.5413085836506],[274.0774230957031 446.8033447265625 415.6839904785156 583.3697509765625],0.7473745346069336,90-H8 3509,[0.4253365512672634, 0.9990053107451559, 0.998647017224103]
119,64.0,[-7.814422146806066 12.95478105541656 530.6145514148216 696.1317840872085],[270.54217529296875 445.1292724609375 400.19183349609375 572.2376708984375],0.7734600901603699,90-H8 3509,[0.8393781328887184, 0.9998673796653748]
121,64.0,[-6.525888538684626 12.919008459396707 509.60981948621577 694.1578600589685],[255.03111267089844 437.3882751464844 387.4527587890625 572.7301025390625],0.738434374332428,90-H8 3509,[0.6616343808830285, 0.9914415935595399]
122,64.0,[-5.112584128358236 12.349300047381973 502.5560851763172 693.6451350214647],[241.0654754638672 437.1819763183594 379.20977783203125 574.3238525390625],0.7851866483688354,90-H8 3509,[0.4688332426052113, 0.9991737604141235]
124,64.0,[-6.182939163860681 13.175929986617064 481.5110504061032 691.2068877827815],[212.50450134277344 437.98992919921875 347.598876953125 576.6845092773438],0.7881761193275452,90-H8 3509,[0.7885416636928818, 0.9752292037010193]
