                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.6798,                 4.6551,                 4.4025,                0.00111,                0.20896,                0.00071,                0.00022,                 2.9064,                 4.6363,                 4.1586,                0.00016,                0.00016,                0.00016
                      2,                 3.3138,                 4.0873,                 4.2241,                0.00119,                0.22388,                0.00076,                0.00022,                 2.9053,                 4.6314,                 4.1568,             0.00033663,             0.00033663,             0.00033663
                      3,                 3.4814,                 3.8643,                 4.1126,                0.00119,                0.22388,                0.00087,                0.00022,                 2.9049,                 4.6059,                 4.1534,              0.0005097,              0.0005097,              0.0005097
                      4,                 3.2306,                 3.6358,                 3.9408,                0.00127,                0.23881,                0.00104,                0.00024,                 2.9125,                 4.5583,                 4.1522,             0.00067921,             0.00067921,             0.00067921
                      5,                 3.1569,                 3.4987,                 3.7383,                0.00056,                0.10448,                0.00038,                0.00012,                 2.9087,                 4.4138,                 4.1692,             0.00084515,             0.00084515,             0.00084515
                      6,                 2.8111,                 3.1125,                 3.4533,                0.00056,                0.10448,                0.00038,                0.00012,                 2.9404,                 4.3427,                 4.1935,              0.0010075,              0.0010075,              0.0010075
                      7,                  2.592,                 2.8323,                  3.176,                0.00056,                0.10448,                0.00038,                0.00011,                 2.9614,                 4.3353,                 4.2377,              0.0011663,              0.0011663,              0.0011663
                      8,                 2.6374,                 2.8753,                 3.1902,                0.00106,                0.08955,                0.00063,                0.00016,                 2.9359,                 4.3957,                 4.2531,              0.0013216,              0.0013216,              0.0013216
                      9,                 2.5973,                  2.743,                 3.0415,                0.00159,                0.29851,                 0.0014,                0.00038,                   3.03,                 4.2792,                 4.1083,              0.0014733,              0.0014733,              0.0014733
                     10,                 2.4321,                  2.666,                 3.0939,                0.00167,                0.31343,                0.00198,                0.00051,                 3.0221,                  4.327,                 3.9612,              0.0016214,              0.0016214,              0.0016214
                     11,                 2.3605,                  2.484,                 2.9401,                0.00551,                0.41791,                0.00908,                0.00276,                 2.9616,                 4.2834,                 3.9018,               0.001766,               0.001766,               0.001766
                     12,                 2.3062,                 2.2961,                 2.8097,                0.35384,                0.10448,                0.10865,                0.04569,                 2.5169,                 3.6876,                 3.5174,              0.0017822,              0.0017822,              0.0017822
                     13,                 2.2634,                 2.1941,                 2.6912,                0.26356,                0.10448,                0.13473,                 0.0555,                 2.4003,                 3.5452,                 3.2993,              0.0017822,              0.0017822,              0.0017822
                     14,                 2.2923,                 2.2721,                  2.715,                0.44443,                0.38806,                0.27029,                 0.0708,                 2.6277,                 3.5869,                 3.7212,              0.0017624,              0.0017624,              0.0017624
                     15,                 2.2151,                 2.0271,                 2.6446,                0.58506,                0.46299,                0.48573,                0.18426,                 2.3427,                  2.884,                 3.3331,              0.0017426,              0.0017426,              0.0017426
                     16,                 2.1525,                 2.1237,                 2.5868,                0.29724,                0.46269,                0.26075,                0.09163,                 2.4124,                 2.9642,                 3.2492,              0.0017228,              0.0017228,              0.0017228
                     17,                 2.1532,                 1.8527,                 2.5729,                0.16589,                0.26866,                0.10066,                0.03178,                  2.714,                 3.2461,                 5.2392,               0.001703,               0.001703,               0.001703
                     18,                 2.2151,                 1.8658,                 2.5974,                0.01334,                0.32836,                0.00925,                0.00269,                 3.0554,                  130.4,                  9.114,              0.0016832,              0.0016832,              0.0016832
                     19,                 2.1836,                  1.975,                 2.6493,                0.00398,                0.70149,                0.00837,                0.00268,                 2.7279,                 29.095,                 4.9507,              0.0016634,              0.0016634,              0.0016634
                     20,                 2.1157,                 1.9433,                 2.5649,                0.01862,                0.34328,                 0.0145,                 0.0067,                 2.6517,                 33.971,                 7.6728,              0.0016436,              0.0016436,              0.0016436
                     21,                 2.0292,                 1.7643,                 2.5463,                0.03068,                0.46269,                0.02658,                0.01039,                 2.5231,                 15.388,                 3.5238,              0.0016238,              0.0016238,              0.0016238
                     22,                 2.1007,                 1.7796,                 2.4776,                0.29808,                0.47761,                0.35751,                0.13912,                 2.2888,                 13.895,                 3.0129,               0.001604,               0.001604,               0.001604
                     23,                  2.032,                 1.7952,                 2.4558,                0.10099,                0.46269,                0.07321,                 0.0277,                 2.5938,                 6.3969,                 3.2634,              0.0015842,              0.0015842,              0.0015842
                     24,                 2.2163,                 1.8941,                 2.5203,                0.40958,                0.34328,                0.28334,                0.12065,                  2.365,                 3.0522,                 2.8909,              0.0015644,              0.0015644,              0.0015644
                     25,                 2.0353,                 1.7427,                 2.4176,                 0.4556,                0.74947,                0.52287,                0.24512,                 1.8458,                 2.3801,                 2.6296,              0.0015446,              0.0015446,              0.0015446
                     26,                 1.9747,                 1.6552,                 2.3706,                 0.4167,                0.58209,                0.32834,                0.13805,                 2.0164,                 2.6403,                 2.8279,              0.0015248,              0.0015248,              0.0015248
                     27,                 1.9875,                 1.5935,                 2.3275,                0.63598,                0.53731,                 0.5667,                0.21632,                 2.0015,                 2.5149,                  2.822,               0.001505,               0.001505,               0.001505
                     28,                 1.8742,                 1.5801,                 2.3119,                0.87208,                0.81409,                0.86337,                0.44473,                  1.853,                 2.6999,                 2.4863,              0.0014852,              0.0014852,              0.0014852
                     29,                 1.9428,                 1.5146,                  2.343,                0.82511,                0.77462,                0.86883,                0.43792,                 1.7607,                 1.9686,                 2.5191,              0.0014654,              0.0014654,              0.0014654
                     30,                 1.8457,                 1.3917,                 2.2851,                0.71354,                0.85514,                0.81242,                0.39706,                 1.7848,                 2.1203,                 2.5085,              0.0014456,              0.0014456,              0.0014456
                     31,                 1.7726,                 1.3966,                 2.2573,                0.81809,                0.74627,                0.86436,                0.41295,                  1.765,                 2.1066,                 2.4498,              0.0014258,              0.0014258,              0.0014258
                     32,                 1.8789,                 1.5105,                 2.3202,                0.77193,                0.80597,                0.87256,                0.47784,                 1.6871,                 1.6923,                 2.3483,               0.001406,               0.001406,               0.001406
                     33,                 1.8439,                 1.3966,                 2.1996,                 0.7811,                0.77612,                0.83888,                0.43514,                  1.723,                  1.809,                 2.3786,              0.0013862,              0.0013862,              0.0013862
                     34,                 1.8392,                 1.3845,                 2.2609,                0.88189,                0.78011,                0.87901,                0.41048,                 1.8817,                 1.8055,                 2.5153,              0.0013664,              0.0013664,              0.0013664
                     35,                 1.8249,                  1.304,                 2.1989,                0.91787,                  0.834,                0.93346,                0.44481,                 1.7615,                 1.7426,                 2.3923,              0.0013466,              0.0013466,              0.0013466
                     36,                 1.7998,                 1.2933,                 2.1831,                0.72944,                 0.8048,                0.81521,                 0.4144,                 1.7224,                 3.0378,                 2.3569,              0.0013268,              0.0013268,              0.0013268
                     37,                 1.8517,                 1.4186,                 2.3108,                0.86886,                0.89552,                0.92008,                0.45799,                 1.6911,                 1.5331,                 2.3372,               0.001307,               0.001307,               0.001307
                     38,                 1.7847,                 1.3402,                 2.2007,                0.98332,                0.88003,                0.95082,                0.51342,                 1.6614,                 1.3597,                 2.3602,              0.0012872,              0.0012872,              0.0012872
                     39,                 1.7776,                 1.2654,                  2.204,                0.76361,                0.86785,                0.89093,                0.47384,                 1.7507,                 1.4942,                 2.4779,              0.0012674,              0.0012674,              0.0012674
                     40,                 1.7572,                 1.3343,                 2.1975,                0.90622,                0.62687,                0.81559,                0.43995,                 1.6038,                 1.6651,                 2.3508,              0.0012476,              0.0012476,              0.0012476
                     41,                 1.7052,                 1.2085,                 2.1628,                0.96401,                0.83582,                0.94307,                0.52245,                 1.5315,                 1.4249,                 2.2474,              0.0012278,              0.0012278,              0.0012278
                     42,                 1.7634,                 1.2425,                 2.1209,                0.82612,                0.83582,                0.92197,                0.47631,                 1.5696,                  1.328,                 2.2476,               0.001208,               0.001208,               0.001208
                     43,                 1.7096,                 1.2465,                   2.13,                0.85582,                0.88596,                0.91661,                 0.5215,                 1.5941,                 1.4729,                 2.2732,              0.0011882,              0.0011882,              0.0011882
                     44,                 1.7471,                 1.2474,                 2.1134,                0.84298,                0.83582,                0.91197,                0.49187,                 1.6333,                 1.4589,                 2.2857,              0.0011684,              0.0011684,              0.0011684
                     45,                 1.7594,                 1.2598,                  2.203,                0.93689,                0.86567,                0.92986,                0.47926,                 1.6142,                 1.5864,                 2.2355,              0.0011486,              0.0011486,              0.0011486
                     46,                 1.6657,                 1.1749,                 2.0743,                0.90057,                0.91045,                0.92166,                0.48142,                 1.5273,                 1.4601,                 2.1811,              0.0011288,              0.0011288,              0.0011288
                     47,                 1.6683,                 1.2447,                 2.1397,                0.90823,                0.89552,                0.90513,                0.48947,                 1.5295,                 1.5845,                 2.2162,               0.001109,               0.001109,               0.001109
                     48,                 1.5781,                 1.0912,                 1.9987,                0.86032,                 0.8209,                0.90338,                0.50275,                 1.5616,                 1.5399,                 2.2203,              0.0010892,              0.0010892,              0.0010892
                     49,                 1.7366,                 1.2265,                 2.0962,                0.88606,                0.81251,                0.91105,                0.49382,                  1.582,                 1.7814,                 2.2388,              0.0010694,              0.0010694,              0.0010694
                     50,                 1.6475,                 1.1079,                  2.044,                 0.9315,                0.81197,                0.92076,                0.42979,                 1.6587,                 1.8155,                 2.2606,              0.0010496,              0.0010496,              0.0010496
                     51,                 1.5974,                 1.1021,                 2.0181,                0.87048,                0.86567,                0.92789,                 0.4495,                  1.618,                 1.4492,                 2.2424,              0.0010298,              0.0010298,              0.0010298
                     52,                 1.6255,                 1.0972,                 2.0593,                0.94958,                 0.8433,                0.92406,                0.49711,                 1.5068,                 1.5944,                 2.2183,                0.00101,                0.00101,                0.00101
                     53,                  1.589,                 1.1345,                 2.0339,                0.84975,                0.84418,                0.88748,                0.47054,                 1.6051,                 1.6684,                 2.2582,              0.0009902,              0.0009902,              0.0009902
                     54,                 1.6353,                 1.0739,                 2.0242,                0.92895,                0.86567,                 0.9197,                0.43472,                 1.6584,                 1.3446,                 2.2353,              0.0009704,              0.0009704,              0.0009704
